,lien,type de bien,nb de pièces,taille,carrez,prix,nom_ville,code_postal,nom_x,code_insee,code,nom_y,geometry,prix/m²
24,https://www.paruvendu.fr/immobilier/vente/appartement/t2/1262950911A1KIVHAP000,Appartement,2,46,False,268000,Nogent-sur-Marne,94130,Nogent-sur-Marne,94052,94052,Nogent-sur-Marne,"POLYGON ((2.4758029547537 48.830611849549, 2.465730572119 48.826226047985, 2.4672474618601 48.839072987582, 2.4797816041001 48.841986299027, 2.4915219508926 48.847633426689, 2.4975981658336 48.830809715633, 2.4758029547537 48.830611849549))",5826.1
25,https://www.paruvendu.fr/immobilier/prestige/maison/maison/1262950908A1KIVHMN000,Maison,7,175,False,830000,Deuil-la-Barre,95170,Deuil-la-Barre,95197,95197,Deuil-la-Barre,"POLYGON ((2.3283349938093 48.959659359756, 2.3131712998317 48.962218212702, 2.3108464872473 48.971932212686, 2.3168499657362 48.979617427441, 2.3254500070462 48.983086844133, 2.3351570198407 48.980966648117, 2.3443053525085 48.97791099011, 2.3366599375832 48.97260921527, 2.3283349938093 48.959659359756))",4742.9
26,https://www.paruvendu.fr/immobilier/prestige/maison/maison/1262950906A1KIVHMN000,Maison,5,138,False,728000,Sartrouville,78500,Sartrouville,78586,78586,Sartrouville,"POLYGON ((2.173144277672 48.953293003348, 2.205861118488 48.949738062716, 2.2060953569669 48.940654951382, 2.1989282039477 48.935252831528, 2.1842591648518 48.936942601369, 2.1772553217741 48.934679740172, 2.1679090687257 48.92657628154, 2.1608388351335 48.920266831869, 2.1424280732098 48.935119968601, 2.173144277672 48.953293003348))",5275.4
27,https://www.paruvendu.fr/immobilier/vente/appartement/t2/1262950903A1KIVHAP000,Appartement,2,36,False,418000,Paris,75018,Paris,75118,75118,Paris 18e  Arrondissement,"POLYGON ((2.3646776664012 48.884291351874, 2.3495508401232 48.883620167912, 2.3379555061118 48.882249883375, 2.3271206970663 48.883485416617, 2.3260974369951 48.889111262565, 2.3299805220467 48.901163282127, 2.3518739447639 48.901522076927, 2.365846786 48.901609465126, 2.3702905140491 48.901653595285, 2.3698082422377 48.893376450644, 2.3646776664012 48.884291351874))",11611.1
30,https://www.paruvendu.fr/immobilier/vente/maison/maison/1262950901A1KIVHMN000,Maison,7,115,False,338000,Maisse,91720,Maisse,91359,91359,Maisse,"POLYGON ((2.3874507823845 48.411315504302, 2.4162892446966 48.415569760556, 2.4253903334818 48.412214324997, 2.4223518028677 48.406979629989, 2.4098502681772 48.398761540972, 2.4081469080923 48.386850135711, 2.3866801612511 48.381691907646, 2.3659470829291 48.378642586554, 2.3368633656505 48.377656605966, 2.3272143337032 48.378465948068, 2.3298451798556 48.389703763438, 2.3247472045914 48.401481559877, 2.3313280524935 48.407685328338, 2.3521237999659 48.412233502409, 2.3767139279467 48.409161507489, 2.3874507823845 48.411315504302))",2939.1
35,https://www.paruvendu.fr/immobilier/vente/appartement/t3/1262854646A1KIVHAP000,Appartement,3,56,False,395000,Issy-les-Moulineaux,92130,Issy-les-Moulineaux,92040,92040,Issy-les-Moulineaux,"POLYGON ((2.2627915245265 48.833923373524, 2.2727931901868 48.827920084226, 2.2790519306533 48.832489952145, 2.2893937776751 48.828352646104, 2.2804640409911 48.825921287497, 2.2786541423079 48.818411302219, 2.2725609364554 48.814399077465, 2.2518651077193 48.816386741829, 2.2361072489474 48.821548554448, 2.25169395441 48.825751017648, 2.2627915245265 48.833923373524))",7053.6
36,https://www.paruvendu.fr/immobilier/vente/appartement/t2/1262950898A1KIVHAP000,Appartement,2,50,False,265000,Thiais,94320,Thiais,94073,94073,Thiais,"POLYGON ((2.3693515629708 48.746067457624, 2.3686208217523 48.757461210608, 2.3678256238607 48.771903535588, 2.3751022594717 48.771375189199, 2.3987277076702 48.774717240567, 2.4031776663113 48.768037116966, 2.402477641959 48.761677417848, 2.4061000494258 48.751075062428, 2.3911515456815 48.752144753855, 2.3693515629708 48.746067457624))",5300.0
37,https://www.paruvendu.fr/immobilier/prestige/maison/maison/1262606985A1KIVHMN000,Maison,6,202,False,895000,Rosny-sous-Bois,93110,Rosny-sous-Bois,93064,93064,Rosny-sous-Bois,"POLYGON ((2.4815382130314 48.861405371284, 2.4647569847741 48.878069840969, 2.4766396101571 48.888661496089, 2.4868020094812 48.887030959256, 2.5008082478637 48.877117633146, 2.5091354998104 48.877914691988, 2.4963948644935 48.859903967668, 2.4815382130314 48.861405371284))",4430.7
38,https://www.paruvendu.fr/immobilier/vente/appartement/t4/1262950896A1KIVHAP000,Appartement,4,85,False,393000,Chatou,78400,Chatou,78146,78146,Chatou,"POLYGON ((2.15831848289 48.880606413153, 2.1449384245211 48.883376934834, 2.1405836459931 48.899690463096, 2.1337980253505 48.909564848866, 2.1259521573852 48.90766422336, 2.1359723075168 48.911320756668, 2.1453467822899 48.903778758303, 2.1613573653041 48.907991084987, 2.1742824947702 48.89906687854, 2.1693486998328 48.895814931109, 2.15831848289 48.880606413153))",4623.5
39,https://www.paruvendu.fr/immobilier/vente/appartement/t2/1262950895A1KIVHAP000,Appartement,2,53,False,415000,Boulogne-Billancourt,92100,Boulogne-Billancourt,92012,92012,Boulogne-Billancourt,"POLYGON ((2.2242191058804 48.853516917557, 2.2506124417162 48.845554851211, 2.2551442384175 48.834809549369, 2.2627915245265 48.833923373524, 2.25169395441 48.825751017648, 2.2361072489474 48.821548554448, 2.232638353852 48.822737823569, 2.2240496902355 48.835149697724, 2.2242191058804 48.853516917557))",7830.2
