,lien,type de bien,nb de pièces,taille,carrez,prix,nom_ville,code_postal,nom_x,code_insee,code,nom_y,geometry,prix/m²
2070,https://www.paruvendu.fr/immobilier/vente/appartement/paris-18-eme-goutte-d-or-appartement-2-pieces-1-cham/1262929279A1KIVHAP000,Appartement,2,36,False,328000,Paris,75018,Paris,75118,75118,Paris 18e  Arrondissement,"POLYGON ((2.3646776664012 48.884291351874, 2.3495508401232 48.883620167912, 2.3379555061118 48.882249883375, 2.3271206970663 48.883485416617, 2.3260974369951 48.889111262565, 2.3299805220467 48.901163282127, 2.3518739447639 48.901522076927, 2.365846786 48.901609465126, 2.3702905140491 48.901653595285, 2.3698082422377 48.893376450644, 2.3646776664012 48.884291351874))",9111.1
2071,https://www.paruvendu.fr/immobilier/prestige/maison/fontenay-sous-bois-secteur-village-clos-d-orleans-mais/1262929278A1KIVHMN000,Maison,5,115,False,885000,Fontenay-sous-Bois,94120,Fontenay-sous-Bois,94033,94033,Fontenay-sous-Bois,"POLYGON ((2.4471088963187 48.851151636291, 2.4626327306654 48.857185911471, 2.4815382130314 48.861405371284, 2.4963948644935 48.859903967668, 2.4997189389764 48.85567483344, 2.4915219508926 48.847633426689, 2.4797816041001 48.841986299027, 2.4672474618601 48.839072987582, 2.4634383121686 48.842089485269, 2.4478479965512 48.844804739969, 2.4471088963187 48.851151636291))",7695.7
2072,https://www.paruvendu.fr/immobilier/vente/appartement/asnieres-sur-seine-voltaire-appartement-2-pieces-1-c/1262929275A1KIVHAP000,Appartement,2,45,False,275000,Asnières-sur-Seine,92600,Asnières-sur-Seine,92004,92004,Asnières-sur-Seine,"POLYGON ((2.2730393470107 48.933837649862, 2.2843703357838 48.930235818272, 2.2859480936706 48.922680314727, 2.3008304863433 48.914709405165, 2.3177488401014 48.920817897531, 2.3220153126855 48.918671199655, 2.3198186224138 48.915937453257, 2.3137528853936 48.914015216252, 2.2873947275247 48.903641514692, 2.2842744091473 48.902285620694, 2.2759875959395 48.906675754828, 2.2663940990819 48.906292729204, 2.276868225636 48.916249772776, 2.2733089177318 48.926851735489, 2.2730393470107 48.933837649862))",6111.1
2073,https://www.paruvendu.fr/immobilier/vente/appartement/grand-f2-levallois-perret/1262929222A1KIVHAP000,Appartement,2,50,False,450000,Levallois-Perret,92300,Levallois-Perret,92044,92044,Levallois-Perret,"POLYGON ((2.2844595717547 48.885639278202, 2.2710639620218 48.898398213481, 2.2842744091473 48.902285620694, 2.2873947275247 48.903641514692, 2.3037743623516 48.894153778949, 2.2844595717547 48.885639278202))",9000.0
2075,https://www.paruvendu.fr/immobilier/vente/maison/maison-de-plain-pied/1262929207A1KIVHMN000,Maison,6,120,False,359500,Trilport,77470,Trilport,77475,77475,Trilport,"POLYGON ((2.9707851687737 48.941706775919, 2.9692115301184 48.941133559013, 2.9566426646822 48.946510779601, 2.9349784070111 48.950269725384, 2.9441536299065 48.957772220784, 2.9404497846761 48.973716502959, 2.9607407748496 48.974097139325, 2.9941915427338 48.965189381042, 2.9973002598575 48.959188904193, 2.9925742246184 48.948107358269, 2.9813694006849 48.947952369602, 2.9707851687737 48.941706775919))",2995.8
2083,https://www.paruvendu.fr/immobilier/vente/appartement/nouvelle-exclusivite-ab-immobilier/1262929206A1KIVHAP000,Appartement,4,86,False,299500,Meaux,77100,Meaux,77284,77284,Meaux,"POLYGON ((2.8794366530663 48.94306602649, 2.8720366624397 48.943971994085, 2.8771438006232 48.949746011189, 2.8696628056248 48.955883537518, 2.8627338311132 48.955031418295, 2.8684005923559 48.96201675886, 2.8724162082728 48.970118679912, 2.8798980928785 48.976757293217, 2.8910632018221 48.979132005453, 2.9031827606665 48.974986195282, 2.9289939713605 48.958378381293, 2.9441536299065 48.957772220784, 2.9349784070111 48.950269725384, 2.9167067230281 48.940474601094, 2.8984315693679 48.935978623967, 2.8794366530663 48.94306602649))",3482.6
2085,https://www.paruvendu.fr/immobilier/prestige/maison/maison-familiale-avec-piscine/1262929199A1KIVHMN000,Maison,6,143,False,695000,Saint-Léger-en-Yvelines,78610,Saint-Léger-en-Yvelines,78562,78562,Saint-Léger-en-Yvelines,"POLYGON ((1.7096621739067 48.712561203238, 1.7114697565565 48.736219888198, 1.7226084286729 48.743522364698, 1.7412301329195 48.743221826004, 1.7639313823351 48.737940454526, 1.7691974257296 48.759682193445, 1.7673481174328 48.765920077948, 1.776981284906 48.769075608622, 1.7819738165806 48.766223041498, 1.7944280243807 48.759808233656, 1.8198159644448 48.764649256142, 1.8187308759401 48.754277201368, 1.8090547482124 48.746517282598, 1.7941711106613 48.73358843195, 1.7905612810727 48.721527011417, 1.7866624297789 48.71776965277, 1.7862223017499 48.707925101197, 1.773300295849 48.703540763955, 1.7581525840163 48.702838901494, 1.7262584354658 48.695478817261, 1.7167038155656 48.698486192254, 1.7062284258908 48.710205860967, 1.7096621739067 48.712561203238))",4860.1
2088,https://www.paruvendu.fr/immobilier/prestige/maison/maison-contemporaine-de-plain-pied-rt-2012/1261471617A1KIVHMN000,Maison,7,190,False,725000,Rambouillet,78120,Rambouillet,78517,78517,Rambouillet,"POLYGON ((1.7859794841518 48.67455715278, 1.8034560057475 48.684263807875, 1.8125948866499 48.688035247262, 1.8343043695201 48.676713532553, 1.8482684365767 48.67848823726, 1.8441325870254 48.66372057481, 1.8554316751206 48.661339607819, 1.8729439262717 48.661452516279, 1.8853183912765 48.654717794354, 1.9027675407358 48.650870356048, 1.88388327289 48.644597667876, 1.8770502870517 48.63507887111, 1.8575963226237 48.634103161805, 1.8309317348612 48.620265032595, 1.8275521483848 48.619217055414, 1.8250899328513 48.635216442632, 1.8177359797963 48.634567045778, 1.8010939491322 48.639514919023, 1.785981474639 48.637144371495, 1.7730834596829 48.638387722196, 1.7651866722205 48.652292147907, 1.7872771486661 48.664111016879, 1.7859794841518 48.67455715278))",3815.8
2092,https://www.paruvendu.fr/immobilier/vente/maison/magny-en-vexin-maison-beau-terrain-au-calme/1262929148A1KIVHMN000,Maison,5,90,False,335800,Magny-en-Vexin,95420,Magny-en-Vexin,95355,95355,Magny-en-Vexin,"POLYGON ((1.8360299411688 49.140353881743, 1.8132467819272 49.141009863748, 1.7965069235231 49.14739325459, 1.7836942271679 49.144742253395, 1.7739415380882 49.152298021911, 1.7698578023134 49.161129407463, 1.7799142019171 49.163762896137, 1.7962303991493 49.163242869051, 1.7979304219266 49.177010664123, 1.7935781739594 49.180270622446, 1.7970165835968 49.185232334586, 1.8143979645085 49.176162362964, 1.8265758315348 49.179516758866, 1.8370818782543 49.171698986367, 1.8340636818164 49.165118575975, 1.8362961323642 49.148270983109, 1.8406613931429 49.143024180214, 1.8360299411688 49.140353881743))",3731.1
2104,https://www.paruvendu.fr/immobilier/vente/appartement/triplex-les-ecuries-du-roy/1262929056A1KIVHAP000,Appartement,4,84,False,493500,Fontainebleau,77300,Fontainebleau,77186,77186,Fontainebleau,"POLYGON ((2.7940434146915 48.34718862399, 2.7562153289696 48.349540605555, 2.7203184913939 48.352835167556, 2.7136198510452 48.353460649172, 2.7048669324032 48.346071514099, 2.6697154756903 48.345510869775, 2.6584149408989 48.352969754008, 2.6399634871557 48.354986228479, 2.6266607245028 48.352241449414, 2.6037281964722 48.354768003705, 2.5919752604684 48.351197667648, 2.589228275059 48.358130289231, 2.5836779757038 48.365017010184, 2.5617042586191 48.369519928787, 2.561240581662 48.371364387084, 2.57492990561 48.384778257479, 2.5862830564402 48.399454398142, 2.595047460091 48.418383954353, 2.5991325933605 48.428204988167, 2.5983515136569 48.434185028215, 2.5999954227167 48.438632141868, 2.6219939651754 48.446447474217, 2.6303723143483 48.456090967887, 2.6454310440446 48.465717041271, 2.6467334934563 48.468770647942, 2.6329700986199 48.485176611723, 2.6304331034365 48.490892063872, 2.6340504566305 48.496951310911, 2.641002818373 48.494505808028, 2.6632611699189 48.487944485661, 2.6616975080062 48.498531988259, 2.6658891504522 48.49924014035, 2.6735676272114 48.487147415307, 2.6703758754331 48.482080991721, 2.7000086945215 48.458450973203, 2.7114443309196 48.464654343433, 2.7189576943239 48.480259125328, 2.731296830097 48.483163734897, 2.7473721733868 48.483293472835, 2.7547581124927 48.4797788868, 2.7611852210503 48.481299729692, 2.7664837615638 48.475909902488, 2.7638915545625 48.465946925921, 2.7545160924906 48.46382369949, 2.7467489832611 48.467173766421, 2.7400501936287 48.465221507702, 2.7369362246161 48.451444974901, 2.7440572039521 48.446026763533, 2.7410019257011 48.437091234309, 2.7420778529305 48.427782265634, 2.7351066749707 48.424047759559, 2.7269918740667 48.418197818572, 2.7129288083928 48.41357907129, 2.7213111647256 48.407029747673, 2.7428360036567 48.412352177901, 2.7491438040154 48.407340191802, 2.76077357835 48.409501811757, 2.7729467731083 48.407149741165, 2.7782959916969 48.389604683951, 2.7795732732666 48.380392596554, 2.7916853590393 48.370753729457, 2.7963412692854 48.370735731133, 2.8019687750773 48.366218052135, 2.7998894617796 48.352380003689, 2.7940434146915 48.34718862399))",5875.0
2105,https://www.paruvendu.fr/immobilier/vente/maison/maison-sur-sous-sol-total/1262929055A1KIVHMN000,Maison,4,81,False,265000,Thomery,77810,Thomery,77463,77463,Thomery,"POLYGON ((2.7491438040154 48.407340191802, 2.7542942280227 48.41149840225, 2.7740845689479 48.412168408115, 2.7878292408926 48.414195524543, 2.7967426914194 48.407335057235, 2.7899610736507 48.396108040323, 2.7897181589148 48.391314175664, 2.7782959916969 48.389604683951, 2.7729467731083 48.407149741165, 2.76077357835 48.409501811757, 2.7491438040154 48.407340191802))",3271.6
2106,https://www.paruvendu.fr/immobilier/vente/appartement/5-pieces-101-m2-meudol-la-foret/1262929048A1KIVHAP000,Appartement,5,101,False,369500,Meudon,92190,Meudon,92048,92048,Meudon,"POLYGON ((2.2055079612116 48.809200070282, 2.2203156949819 48.815545696912, 2.2253321048442 48.823021690884, 2.232638353852 48.822737823569, 2.2361072489474 48.821548554448, 2.2518651077193 48.816386741829, 2.2521179650907 48.809106809788, 2.2410673431056 48.801927382124, 2.2367830737694 48.796128595014, 2.2352046131447 48.786143087334, 2.2266318840334 48.781582704918, 2.223319655228 48.785943206962, 2.2115088216259 48.788138691837, 2.2026391702069 48.798400652391, 2.2055079612116 48.809200070282))",3658.4
2107,https://www.paruvendu.fr/immobilier/vente/appartement/2-3-pieces-40-m2-gentilly/1262929047A1KIVHAP000,Appartement,3,41,False,240000,Gentilly,94250,Gentilly,94037,94037,Gentilly,"POLYGON ((2.3290632572873 48.813783346799, 2.3318980606376 48.817010929642, 2.3439025047441 48.815767001297, 2.3564647458137 48.815954893718, 2.3448620289972 48.805407706013, 2.3411905327909 48.810955658092, 2.3290632572873 48.813783346799))",5853.7
2108,https://www.paruvendu.fr/immobilier/vente/appartement/appartement/1262928849A1KIVHAP000,Appartement,5,120,False,418000,Bonneuil-sur-Marne,94380,Bonneuil-sur-Marne,94011,94011,Bonneuil-sur-Marne,"POLYGON ((2.4735407111723 48.761772553403, 2.4771966936363 48.762811248337, 2.473655679273 48.774792038698, 2.4748599645797 48.787639885818, 2.4871709902798 48.784202796018, 2.512503745534 48.784924920763, 2.4978634702389 48.773282707868, 2.4997503347866 48.762969000685, 2.4931665951591 48.7592302559, 2.4870476316521 48.757846909854, 2.4735407111723 48.761772553403))",3483.3
2109,https://www.paruvendu.fr/immobilier/vente/appartement/appartement/1262928848A1KIVHAP000,Appartement,6,120,False,333000,Bonneuil-sur-Marne,94380,Bonneuil-sur-Marne,94011,94011,Bonneuil-sur-Marne,"POLYGON ((2.4735407111723 48.761772553403, 2.4771966936363 48.762811248337, 2.473655679273 48.774792038698, 2.4748599645797 48.787639885818, 2.4871709902798 48.784202796018, 2.512503745534 48.784924920763, 2.4978634702389 48.773282707868, 2.4997503347866 48.762969000685, 2.4931665951591 48.7592302559, 2.4870476316521 48.757846909854, 2.4735407111723 48.761772553403))",2775.0
2110,https://www.paruvendu.fr/immobilier/vente/maison/touquin-pavillon-famillial/1262928777A1KIVHMN000,Maison,8,156,False,280000,Touquin,77131,Touquin,77469,77469,Touquin,"POLYGON ((3.0181291327746 48.71566814273, 3.0095831833266 48.712391599458, 3.0044902402477 48.724653829265, 2.9992005961629 48.728009661975, 3.0094004529097 48.739233136142, 3.0137780685666 48.750857578879, 3.0204147972454 48.74911178169, 3.0323479259243 48.750965518521, 3.0468643008724 48.744599194439, 3.0620030362467 48.728253493254, 3.0620542353304 48.722140973345, 3.0512563803534 48.723204724988, 3.0277897033467 48.722039643672, 3.0181291327746 48.71566814273))",1794.9
2112,https://www.paruvendu.fr/immobilier/prestige/appartement/rue-de-verneuil-carre-des-antiquaires-bel-appartement-au/1262928670A1KIVHAP000,Appartement,3,78,False,1700000,Paris,75007,Paris,75107,75107,Paris 7e  Arrondissement,"POLYGON ((2.3207773515807 48.863075035941, 2.3328469000671 48.859300907461, 2.3282850183008 48.851787363918, 2.3166281602877 48.846752387477, 2.3021915203793 48.850344748998, 2.2897782765961 48.858123113769, 2.3015562721716 48.863475234966, 2.3207773515807 48.863075035941))",21794.9
2113,https://www.paruvendu.fr/immobilier/prestige/appartement/proximite-bois-de-vicennes-appartement-de-63m2-sejour-2/1258269725A1KIVHAP000,Appartement,3,63,False,618000,Paris,75012,Paris,75112,75112,Paris 12e  Arrondissement,"POLYGON ((2.365950820881 48.844908659278, 2.3643180356191 48.846167191329, 2.3690196371168 48.853221440745, 2.3991184448726 48.848094484736, 2.4159711107696 48.846622956277, 2.4122456125626 48.834538914673, 2.4221386362435 48.835797660955, 2.4275751567613 48.841570705794, 2.4478479965512 48.844804739969, 2.4634383121686 48.842089485269, 2.4672474618601 48.839072987582, 2.465730572119 48.826226047985, 2.4612052142523 48.818355149154, 2.4384475102742 48.818232447877, 2.4199625195411 48.824080072246, 2.406031823401 48.827615470779, 2.3900720145113 48.82569232682, 2.365950820881 48.844908659278))",9809.5
2114,https://www.paruvendu.fr/immobilier/vente/appartement/ile-saint-louis-studio-de-15m2-en-parfait-etat/1262928669A1KIVHAP000,Appartement,1,15,False,290000,Paris,75004,Paris,75104,75104,Paris 4e  Arrondissement,"POLYGON ((2.3445592260856 48.85398930556, 2.3500912644194 48.861951749823, 2.3684085721728 48.855737300049, 2.3690196371168 48.853221440745, 2.3643180356191 48.846167191329, 2.3445592260856 48.85398930556))",19333.3
2115,https://www.paruvendu.fr/immobilier/vente/appartement/paris-75013-appartement-2-pieces-52m2/1262928625A1KIVHAP000,Appartement,2,52,False,484500,Paris,75013,Paris,75113,75113,Paris 13e  Arrondissement,"POLYGON ((2.365950820881 48.844908659278, 2.3900720145113 48.82569232682, 2.3642042811729 48.816398323996, 2.3564647458137 48.815954893718, 2.3439025047441 48.815767001297, 2.3414937722336 48.828568124075, 2.3420384635948 48.838296917933, 2.3517180689518 48.836813651152, 2.3613870338288 48.839822776185, 2.365950820881 48.844908659278))",9317.3
2116,https://www.paruvendu.fr/immobilier/vente/appartement/paris-75018-studio-21m2/1262928624A1KIVHAP000,Appartement,1,21,False,204000,Paris,75018,Paris,75118,75118,Paris 18e  Arrondissement,"POLYGON ((2.3646776664012 48.884291351874, 2.3495508401232 48.883620167912, 2.3379555061118 48.882249883375, 2.3271206970663 48.883485416617, 2.3260974369951 48.889111262565, 2.3299805220467 48.901163282127, 2.3518739447639 48.901522076927, 2.365846786 48.901609465126, 2.3702905140491 48.901653595285, 2.3698082422377 48.893376450644, 2.3646776664012 48.884291351874))",9714.3
2117,https://www.paruvendu.fr/immobilier/prestige/appartement/paris-75011-appartement-3-pieces-73m2/1262928626A1KIVHAP000,Appartement,3,73,False,887400,Paris,75011,Paris,75111,75111,Paris 11e  Arrondissement,"POLYGON ((2.3770153520998 48.87192112928, 2.3943004420294 48.856491711482, 2.3991184448726 48.848094484736, 2.3690196371168 48.853221440745, 2.3684085721728 48.855737300049, 2.3638513390126 48.867431638281, 2.3770153520998 48.87192112928))",12156.2
2118,https://www.paruvendu.fr/immobilier/vente/appartement/drancy-appartement-2-pieces-43m2/1262928605A1KIVHAP000,Appartement,2,44,False,157000,Drancy,93700,Drancy,93029,93029,Drancy,"POLYGON ((2.4422437738446 48.937217554914, 2.4549462075187 48.9377903786, 2.4607999403326 48.932877125716, 2.4625060951793 48.926270571549, 2.4690166572785 48.919109797335, 2.4742647762078 48.918429696058, 2.4752144326654 48.916405958245, 2.4537099258517 48.911620905964, 2.4369469730695 48.913047816467, 2.4134884566834 48.919257322391, 2.4220286669438 48.929630759749, 2.4444176188614 48.932677300361, 2.4422437738446 48.937217554914))",3568.2
2119,https://www.paruvendu.fr/immobilier/vente/appartement/issy-les-moulineaux-appartement-3-pieces-65m2/1262928604A1KIVHAP000,Appartement,3,65,False,495000,Issy-les-Moulineaux,92130,Issy-les-Moulineaux,92040,92040,Issy-les-Moulineaux,"POLYGON ((2.2627915245265 48.833923373524, 2.2727931901868 48.827920084226, 2.2790519306533 48.832489952145, 2.2893937776751 48.828352646104, 2.2804640409911 48.825921287497, 2.2786541423079 48.818411302219, 2.2725609364554 48.814399077465, 2.2518651077193 48.816386741829, 2.2361072489474 48.821548554448, 2.25169395441 48.825751017648, 2.2627915245265 48.833923373524))",7615.4
2124,https://www.paruvendu.fr/immobilier/vente/appartement/etampes-appartement-2-pieces-39m2/1262928601A1KIVHAP000,Appartement,2,38,False,135660,Étampes,91150,Étampes,91223,91223,Étampes,"POLYGON ((2.0822110130001 48.459284862277, 2.1027414124439 48.462707636629, 2.1147876163426 48.462146701498, 2.1238991573839 48.448470802424, 2.1362220665639 48.452826506953, 2.1648421431838 48.454093840057, 2.1698834881466 48.451921401531, 2.1734640861922 48.43812911145, 2.1955210785729 48.427521357895, 2.2076008847489 48.411570123937, 2.2199853778872 48.399356002083, 2.2328159984565 48.396536362884, 2.2276257477301 48.393475150434, 2.218510524188 48.394410496799, 2.2032090769477 48.395413496816, 2.1763991173971 48.409689508425, 2.1599694179063 48.416183495156, 2.1545674331419 48.416175704777, 2.1354250570336 48.408151790498, 2.1275828851922 48.392701123837, 2.1256495992794 48.386449999712, 2.1106779221911 48.383948948321, 2.1007460046343 48.38671716348, 2.0951420318568 48.38409859302, 2.0716137110459 48.392589163766, 2.0787022434927 48.406000844811, 2.0767725819953 48.412234368194, 2.094551360579 48.41291665315, 2.1010421072926 48.420681921775, 2.1106914137692 48.421814504759, 2.1064903270938 48.427778548491, 2.1099677656732 48.44068021902, 2.1069922058998 48.446850421562, 2.0948050933882 48.44895873304, 2.0785021403272 48.457658295319, 2.0822110130001 48.459284862277))",3570.0
2135,https://www.paruvendu.fr/immobilier/vente/appartement/paris-13eme-studio-oriente-sud-20m2/1262928599A1KIVHAP000,Appartement,1,20,False,202000,Paris,75013,Paris,75113,75113,Paris 13e  Arrondissement,"POLYGON ((2.365950820881 48.844908659278, 2.3900720145113 48.82569232682, 2.3642042811729 48.816398323996, 2.3564647458137 48.815954893718, 2.3439025047441 48.815767001297, 2.3414937722336 48.828568124075, 2.3420384635948 48.838296917933, 2.3517180689518 48.836813651152, 2.3613870338288 48.839822776185, 2.365950820881 48.844908659278))",10100.0
2136,https://www.paruvendu.fr/immobilier/prestige/appartement/marnes-la-coquette-parc-de-st-cloud-appartement-familial/1262928564A1KIVHAP000,Appartement,5,115,False,680000,Marnes-la-Coquette,92430,Marnes-la-Coquette,92047,92047,Marnes-la-Coquette,"POLYGON ((2.1872152944551 48.837730034175, 2.1807966813571 48.830624257448, 2.164345762437 48.822891664685, 2.1507472904881 48.818843890003, 2.1514696650673 48.821406018964, 2.1516307625728 48.829502642515, 2.1553593613806 48.836222305401, 2.1666241523509 48.837742139543, 2.1872152944551 48.837730034175))",5913.0
2137,https://www.paruvendu.fr/immobilier/prestige/appartement/rare-triangle-d-or-proche-montaigne-emplacement-exceptionn/1262928563A1KIVHAP000,Appartement,4,130,False,2990000,Paris,75008,Paris,75108,75108,Paris 8e  Arrondissement,"POLYGON ((2.3271206970663 48.883485416617, 2.3257616254697 48.869546133476, 2.3207773515807 48.863075035941, 2.3015562721716 48.863475234966, 2.2951453922338 48.873861979677, 2.2981403262665 48.87804262556, 2.3271206970663 48.883485416617))",23000.0
2138,https://www.paruvendu.fr/immobilier/prestige/maison/rare-triangle-d-or-proche-montaigne-emplacement-exceptionn/1262928562A1KIVHMN000,Maison,4,130,False,2990000,Paris,75008,Paris,75108,75108,Paris 8e  Arrondissement,"POLYGON ((2.3271206970663 48.883485416617, 2.3257616254697 48.869546133476, 2.3207773515807 48.863075035941, 2.3015562721716 48.863475234966, 2.2951453922338 48.873861979677, 2.2981403262665 48.87804262556, 2.3271206970663 48.883485416617))",23000.0
2139,https://www.paruvendu.fr/immobilier/prestige/appartement/emplacement-exceptionnel-vue-sur-l-eglise-saint-sulpice/1262928557A1KIVHAP000,Appartement,7,200,False,7800000,Paris,75006,Paris,75106,75106,Paris 6e  Arrondissement,"POLYGON ((2.3166281602877 48.846752387477, 2.3282850183008 48.851787363918, 2.3328469000671 48.859300907461, 2.3445592260856 48.85398930556, 2.3365927071777 48.839690537143, 2.3246635446251 48.843518038723, 2.3166281602877 48.846752387477))",39000.0
2140,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-de-3-pieces-principales/1262928359A1KIVHAP000,Appartement,3,37,False,198090,Bezons,95870,Bezons,95063,95063,Bezons,"POLYGON ((2.2060953569669 48.940654951382, 2.2211846194098 48.934715158112, 2.231140371461 48.927732507513, 2.22039813682 48.92061341599, 2.2005910092695 48.908679329899, 2.2037015884478 48.914390956152, 2.1991897981313 48.91896898705, 2.2017498367798 48.930528727477, 2.1989282039477 48.935252831528, 2.2060953569669 48.940654951382))",5353.8
2141,https://www.paruvendu.fr/immobilier/vente/appartement/appartement/1262928266A1KIVHAP000,Appartement,3,62,False,274000,Choisy-le-Roi,94600,Choisy-le-Roi,94022,94022,Choisy-le-Roi,"POLYGON ((2.4147835524145 48.77727124747, 2.4280327809822 48.776030370727, 2.4355661108569 48.767236675363, 2.4425519660272 48.761956627727, 2.4340199260365 48.763523762271, 2.4265883680559 48.760602077001, 2.4275220616302 48.751008794898, 2.4132707380404 48.752417382048, 2.4061000494258 48.751075062428, 2.402477641959 48.761677417848, 2.4031776663113 48.768037116966, 2.3987277076702 48.774717240567, 2.4147835524145 48.77727124747))",4419.4
2142,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-de-2-pieces-principales/1262928217A1KIVHAP000,Appartement,2,39,False,254400,Colombes,92700,Colombes,92025,92025,Colombes,"POLYGON ((2.2730393470107 48.933837649862, 2.2733089177318 48.926851735489, 2.2678818361228 48.925058765541, 2.2574119250256 48.913558720877, 2.2498359039144 48.912658069894, 2.2290994841599 48.906027032338, 2.2239863988558 48.918098848983, 2.22039813682 48.92061341599, 2.231140371461 48.927732507513, 2.2475913259381 48.93673190225, 2.2559162610429 48.937147189735, 2.2730393470107 48.933837649862))",6523.1
2143,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-de-4-pieces-principales/1262601530A1KIVHAP000,Appartement,4,87,False,530250,Colombes,92700,Colombes,92025,92025,Colombes,"POLYGON ((2.2730393470107 48.933837649862, 2.2733089177318 48.926851735489, 2.2678818361228 48.925058765541, 2.2574119250256 48.913558720877, 2.2498359039144 48.912658069894, 2.2290994841599 48.906027032338, 2.2239863988558 48.918098848983, 2.22039813682 48.92061341599, 2.231140371461 48.927732507513, 2.2475913259381 48.93673190225, 2.2559162610429 48.937147189735, 2.2730393470107 48.933837649862))",6094.8
2144,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-de-2-pieces-principales/1261329691A1KIVHAP000,Appartement,2,42,False,233200,Colombes,92700,Colombes,92025,92025,Colombes,"POLYGON ((2.2730393470107 48.933837649862, 2.2733089177318 48.926851735489, 2.2678818361228 48.925058765541, 2.2574119250256 48.913558720877, 2.2498359039144 48.912658069894, 2.2290994841599 48.906027032338, 2.2239863988558 48.918098848983, 2.22039813682 48.92061341599, 2.231140371461 48.927732507513, 2.2475913259381 48.93673190225, 2.2559162610429 48.937147189735, 2.2730393470107 48.933837649862))",5552.4
2147,https://www.paruvendu.fr/immobilier/vente/maison/maison-de-5-pieces-principales/1261574851A1KIVHMN000,Maison,5,105,False,316500,Persan,95340,Persan,95487,95487,Persan,"POLYGON ((2.2636155928769 49.135934352853, 2.2527657983824 49.146942817298, 2.2415798466453 49.151570720338, 2.2524813607229 49.152881479913, 2.2622091200851 49.158297463054, 2.2695453788487 49.156306628677, 2.2864061601595 49.1599178389, 2.2941534598377 49.151151409885, 2.2680611160412 49.139405106179, 2.2636155928769 49.135934352853))",3014.3
2148,https://www.paruvendu.fr/immobilier/vente/maison/pavillon-de-4-pieces-principales/1262928199A1KIVHMN000,Maison,4,120,False,553850,Sartrouville,78500,Sartrouville,78586,78586,Sartrouville,"POLYGON ((2.173144277672 48.953293003348, 2.205861118488 48.949738062716, 2.2060953569669 48.940654951382, 2.1989282039477 48.935252831528, 2.1842591648518 48.936942601369, 2.1772553217741 48.934679740172, 2.1679090687257 48.92657628154, 2.1608388351335 48.920266831869, 2.1424280732098 48.935119968601, 2.173144277672 48.953293003348))",4615.4
2149,https://www.paruvendu.fr/immobilier/vente/maison/maison/1262928196A1KIVHMN000,Maison,5,93,False,480000,Conflans-Sainte-Honorine,78700,Conflans-Sainte-Honorine,78172,78172,Conflans-Sainte-Honorine,"POLYGON ((2.0743941292526 48.984803642495, 2.0718783877318 48.993389351529, 2.0716996693885 49.001709777092, 2.0754526810069 49.002257622875, 2.0849108992224 49.014674188012, 2.1102443408749 49.008729959034, 2.1209859138214 49.018101015013, 2.1266727971603 49.012207510523, 2.1207126382788 48.993300321431, 2.1274500504103 48.989051021331, 2.0852396220577 48.9877824912, 2.0743941292526 48.984803642495))",5161.3
2150,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-de-2-pieces-principales/1262270819A1KIVHAP000,Appartement,2,52,False,183900,Plaisir,78370,Plaisir,78490,78490,Plaisir,"POLYGON ((1.914912304826 48.802631462315, 1.9105824586927 48.816188078746, 1.913070277963 48.819935290669, 1.9217316618252 48.826122652855, 1.9274646679515 48.824030869101, 1.9441714219471 48.837892135535, 1.9687955283502 48.834824998012, 1.9700888722439 48.834873917298, 1.9667817051044 48.821292020506, 1.9738167242103 48.812924057115, 1.9855656361693 48.803184517843, 1.9864818738102 48.799687175637, 1.9859339923153 48.79964565138, 1.967483283066 48.800239618187, 1.9610204014421 48.791953670108, 1.9491373415113 48.790000489643, 1.9412419875117 48.791543518834, 1.9353491445489 48.791997556955, 1.914912304826 48.802631462315))",3536.5
2151,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-de-3-pieces-principales/1262928195A1KIVHAP000,Appartement,3,64,False,202000,Plaisir,78370,Plaisir,78490,78490,Plaisir,"POLYGON ((1.914912304826 48.802631462315, 1.9105824586927 48.816188078746, 1.913070277963 48.819935290669, 1.9217316618252 48.826122652855, 1.9274646679515 48.824030869101, 1.9441714219471 48.837892135535, 1.9687955283502 48.834824998012, 1.9700888722439 48.834873917298, 1.9667817051044 48.821292020506, 1.9738167242103 48.812924057115, 1.9855656361693 48.803184517843, 1.9864818738102 48.799687175637, 1.9859339923153 48.79964565138, 1.967483283066 48.800239618187, 1.9610204014421 48.791953670108, 1.9491373415113 48.790000489643, 1.9412419875117 48.791543518834, 1.9353491445489 48.791997556955, 1.914912304826 48.802631462315))",3156.2
