,id_local,code_insee,nom_ville,departement,code_postal,geometry
12,272.0,78586,Sartrouville,78,78500,"POLYGON ((2.173144277672 48.953293003348, 2.205861118488 48.949738062716, 2.2060953569669 48.940654951382, 2.1989282039477 48.935252831528, 2.1842591648518 48.936942601369, 2.1772553217741 48.934679740172, 2.1679090687257 48.92657628154, 2.1608388351335 48.920266831869, 2.1424280732098 48.935119968601, 2.173144277672 48.953293003348))"
13,17.0,75118,Paris,75,75018,"POLYGON ((2.3646776664012 48.884291351874, 2.3495508401232 48.883620167912, 2.3379555061118 48.882249883375, 2.3271206970663 48.883485416617, 2.3260974369951 48.889111262565, 2.3299805220467 48.901163282127, 2.3518739447639 48.901522076927, 2.365846786 48.901609465126, 2.3702905140491 48.901653595285, 2.3698082422377 48.893376450644, 2.3646776664012 48.884291351874))"
14,341.0,91359,Maisse,91,91720,"POLYGON ((2.3874507823845 48.411315504302, 2.4162892446966 48.415569760556, 2.4253903334818 48.412214324997, 2.4223518028677 48.406979629989, 2.4098502681772 48.398761540972, 2.4081469080923 48.386850135711, 2.3866801612511 48.381691907646, 2.3659470829291 48.378642586554, 2.3368633656505 48.377656605966, 2.3272143337032 48.378465948068, 2.3298451798556 48.389703763438, 2.3247472045914 48.401481559877, 2.3313280524935 48.407685328338, 2.3521237999659 48.412233502409, 2.3767139279467 48.409161507489, 2.3874507823845 48.411315504302))"
15,396.0,92040,Issy-les-Moulineaux,92,92130,"POLYGON ((2.2627915245265 48.833923373524, 2.2727931901868 48.827920084226, 2.2790519306533 48.832489952145, 2.2893937776751 48.828352646104, 2.2804640409911 48.825921287497, 2.2786541423079 48.818411302219, 2.2725609364554 48.814399077465, 2.2518651077193 48.816386741829, 2.2361072489474 48.821548554448, 2.25169395441 48.825751017648, 2.2627915245265 48.833923373524))"
16,481.0,94073,Thiais,94,94320,"POLYGON ((2.3693515629708 48.746067457624, 2.3686208217523 48.757461210608, 2.3678256238607 48.771903535588, 2.3751022594717 48.771375189199, 2.3987277076702 48.774717240567, 2.4031776663113 48.768037116966, 2.402477641959 48.761677417848, 2.4061000494258 48.751075062428, 2.3911515456815 48.752144753855, 2.3693515629708 48.746067457624))"
17,438.0,93064,Rosny-sous-Bois,93,93110,"POLYGON ((2.4815382130314 48.861405371284, 2.4647569847741 48.878069840969, 2.4766396101571 48.888661496089, 2.4868020094812 48.887030959256, 2.5008082478637 48.877117633146, 2.5091354998104 48.877914691988, 2.4963948644935 48.859903967668, 2.4815382130314 48.861405371284))"
18,209.0,78146,Chatou,78,78400,"POLYGON ((2.15831848289 48.880606413153, 2.1449384245211 48.883376934834, 2.1405836459931 48.899690463096, 2.1337980253505 48.909564848866, 2.1259521573852 48.90766422336, 2.1359723075168 48.911320756668, 2.1453467822899 48.903778758303, 2.1613573653041 48.907991084987, 2.1742824947702 48.89906687854, 2.1693486998328 48.895814931109, 2.15831848289 48.880606413153))"
19,383.0,92012,Boulogne-Billancourt,92,92100,"POLYGON ((2.2242191058804 48.853516917557, 2.2506124417162 48.845554851211, 2.2551442384175 48.834809549369, 2.2627915245265 48.833923373524, 2.25169395441 48.825751017648, 2.2361072489474 48.821548554448, 2.232638353852 48.822737823569, 2.2240496902355 48.835149697724, 2.2242191058804 48.853516917557))"
20,390.0,92025,Colombes,92,92700,"POLYGON ((2.2730393470107 48.933837649862, 2.2733089177318 48.926851735489, 2.2678818361228 48.925058765541, 2.2574119250256 48.913558720877, 2.2498359039144 48.912658069894, 2.2290994841599 48.906027032338, 2.2239863988558 48.918098848983, 2.22039813682 48.92061341599, 2.231140371461 48.927732507513, 2.2475913259381 48.93673190225, 2.2559162610429 48.937147189735, 2.2730393470107 48.933837649862))"
21,502.0,95134,Champagne-sur-Oise,95,95660,"POLYGON ((2.2636155928769 49.135934352853, 2.2569667149252 49.131841125416, 2.2350466747776 49.130342487643, 2.2174527479679 49.124161982574, 2.2118904536772 49.131017549568, 2.2090343522459 49.14578134678, 2.1984588153662 49.15660507683, 2.196877161412 49.16701608418, 2.2062414509947 49.158462054196, 2.2163546658105 49.154378017348, 2.2230049777895 49.151869445673, 2.2415798466453 49.151570720338, 2.2527657983824 49.146942817298, 2.2636155928769 49.135934352853))"
23,342.0,91363,Marcoussis,91,91460,"POLYGON ((2.2020180725158 48.6284236569, 2.1878868637167 48.638609016936, 2.181789626311 48.631859417897, 2.1649714134083 48.644337192173, 2.1771053610034 48.655997672066, 2.1866551963722 48.661178816769, 2.1912669571129 48.668263319606, 2.1954592718372 48.668879969718, 2.2084347995725 48.666148655709, 2.2222888793489 48.66076899274, 2.2214967262887 48.656698893685, 2.2402418024139 48.645099976395, 2.2485163458219 48.645600413352, 2.2529345293488 48.639347690701, 2.2390561457241 48.632074376415, 2.2254920019639 48.628583098757, 2.205132142712 48.630854353695, 2.2029686516757 48.628379646794, 2.2020180725158 48.6284236569))"
24,16.0,75117,Paris,75,75017,"POLYGON ((2.2844595717547 48.885639278202, 2.3037743623516 48.894153778949, 2.3198871747441 48.90045978209, 2.3299805220467 48.901163282127, 2.3260974369951 48.889111262565, 2.3271206970663 48.883485416617, 2.2981403262665 48.87804262556, 2.2951453922338 48.873861979677, 2.2799493325675 48.878573123982, 2.2844595717547 48.885639278202))"
25,19.0,75120,Paris,75,75020,"POLYGON ((2.4132704497803 48.873116980044, 2.4153151254188 48.855173471685, 2.4163411302989 48.849233783552, 2.4159711107696 48.846622956277, 2.3991184448726 48.848094484736, 2.3943004420294 48.856491711482, 2.3770153520998 48.87192112928, 2.4106903466383 48.878475106516, 2.4132704497803 48.873116980044))"
26,15.0,75116,Paris,75,75016,"POLYGON ((2.225670292257 48.859404562396, 2.2317363597469 48.86906858161, 2.2457037884056 48.876459232476, 2.2548171406686 48.874080881369, 2.2584671711142 48.880387263086, 2.2799493325675 48.878573123982, 2.2951453922338 48.873861979677, 2.3015562721716 48.863475234966, 2.2897782765961 48.858123113769, 2.2724846953815 48.843681568601, 2.2627915245265 48.833923373524, 2.2551442384175 48.834809549369, 2.2506124417162 48.845554851211, 2.2242191058804 48.853516917557, 2.225670292257 48.859404562396))"
27,12.0,75113,Paris,75,75013,"POLYGON ((2.365950820881 48.844908659278, 2.3900720145113 48.82569232682, 2.3642042811729 48.816398323996, 2.3564647458137 48.815954893718, 2.3439025047441 48.815767001297, 2.3414937722336 48.828568124075, 2.3420384635948 48.838296917933, 2.3517180689518 48.836813651152, 2.3613870338288 48.839822776185, 2.365950820881 48.844908659278))"
28,456.0,94021,Chevilly-Larue,94,94550,"POLYGON ((2.332679146742 48.764595231499, 2.3337748261444 48.770742613871, 2.3548760834227 48.774732227727, 2.3672764992453 48.779373862747, 2.3678256238607 48.771903535588, 2.3686208217523 48.757461210608, 2.3531475203595 48.759939077397, 2.3438906252819 48.756204514892, 2.332679146742 48.764595231499))"
29,158.0,77447,Seine-Port,77,77240,"POLYGON ((2.5489856479877 48.537292612695, 2.5374885419243 48.539658420307, 2.5305345061402 48.544254996782, 2.5315144442073 48.553152935888, 2.5466547039455 48.563419867268, 2.5478955662123 48.568514294406, 2.556163246957 48.571595816729, 2.5603588135487 48.566226650568, 2.5666370009552 48.563745314205, 2.5675568963563 48.555245997156, 2.5841348641307 48.553189336254, 2.5820739534246 48.546892330098, 2.5624135558405 48.543335768149, 2.5608914777961 48.535652264832, 2.5489856479877 48.537292612695))"
30,78.0,77183,La Ferté-sous-Jouarre,77,77260,"POLYGON ((3.1405620410595 48.958937493548, 3.141245548269 48.952165407124, 3.1560929304911 48.946742526523, 3.167052896279 48.94708565595, 3.1332781955224 48.935535697923, 3.1170546223205 48.936267549625, 3.1169975068921 48.946073053292, 3.1027867986108 48.950209124419, 3.1108992702118 48.960276985494, 3.1040818303798 48.967609148675, 3.1124723612299 48.970970084399, 3.1186252870615 48.976187756099, 3.1293015578098 48.977060658937, 3.129906398742 48.972014456108, 3.1405620410595 48.958937493548))"
31,58.0,77131,Coulommiers,77,77120,"POLYGON ((3.0847072352871 48.787734840404, 3.0843350158278 48.794073891682, 3.0734108464137 48.796892532453, 3.0701490984093 48.801946236351, 3.073913058534 48.816986649364, 3.0726628424378 48.824778484961, 3.0873424703077 48.83174218016, 3.1060917766965 48.832826913171, 3.1112078273071 48.825513297902, 3.1142099954431 48.811283610098, 3.1048427162437 48.809187691664, 3.1031156897085 48.794493560012, 3.0847072352871 48.787734840404))"
32,10.0,75111,Paris,75,75011,"POLYGON ((2.3770153520998 48.87192112928, 2.3943004420294 48.856491711482, 2.3991184448726 48.848094484736, 2.3690196371168 48.853221440745, 2.3684085721728 48.855737300049, 2.3638513390126 48.867431638281, 2.3770153520998 48.87192112928))"
36,36.0,77058,Bussy-Saint-Georges,77,77600,"POLYGON ((2.7280140486001 48.797299023507, 2.72119464616 48.806039582495, 2.7295039405809 48.814514487729, 2.7233240267127 48.820692425166, 2.7285049612519 48.826435875926, 2.7206490733273 48.829095147848, 2.6899623824408 48.830630269277, 2.6744587511571 48.840266033993, 2.66838349084 48.840909463624, 2.6699227731161 48.847845822981, 2.6844038154799 48.83907497594, 2.6986351037322 48.84909881904, 2.7180541282294 48.848993269318, 2.7307540921015 48.851962436095, 2.7320737309551 48.85266507669, 2.7427018381582 48.847204281947, 2.7468889529183 48.842776794312, 2.7489942063147 48.829166989472, 2.7480768671436 48.820833473674, 2.7509532825076 48.814568285002, 2.749208754651 48.805521545155, 2.7280140486001 48.797299023507))"
37,394.0,92035,La Garenne-Colombes,92,92250,"POLYGON ((2.2290994841599 48.906027032338, 2.2498359039144 48.912658069894, 2.2574119250256 48.913558720877, 2.2582157919968 48.906076886413, 2.2316290145216 48.900651830427, 2.2290994841599 48.906027032338))"
38,266.0,78517,Rambouillet,78,78120,"POLYGON ((1.7859794841518 48.67455715278, 1.8034560057475 48.684263807875, 1.8125948866499 48.688035247262, 1.8343043695201 48.676713532553, 1.8482684365767 48.67848823726, 1.8441325870254 48.66372057481, 1.8554316751206 48.661339607819, 1.8729439262717 48.661452516279, 1.8853183912765 48.654717794354, 1.9027675407358 48.650870356048, 1.88388327289 48.644597667876, 1.8770502870517 48.63507887111, 1.8575963226237 48.634103161805, 1.8309317348612 48.620265032595, 1.8275521483848 48.619217055414, 1.8250899328513 48.635216442632, 1.8177359797963 48.634567045778, 1.8010939491322 48.639514919023, 1.785981474639 48.637144371495, 1.7730834596829 48.638387722196, 1.7651866722205 48.652292147907, 1.7872771486661 48.664111016879, 1.7859794841518 48.67455715278))"
40,114.0,77305,Montereau-Fault-Yonne,77,77130,"POLYGON ((2.9362831854655 48.387753510202, 2.9305929841706 48.39560710816, 2.9370851535203 48.397094276444, 2.9721852409447 48.40648486079, 2.9777768956125 48.399317556223, 2.993577615038 48.395919639315, 2.9862073014117 48.389115735256, 2.9848634489062 48.379165200402, 2.9646169290131 48.384632699732, 2.9660048417053 48.370869858608, 2.9432985403981 48.378062197745, 2.9425291344395 48.388848001453, 2.9362831854655 48.387753510202))"
41,296.0,91064,Bièvres,91,91570,"POLYGON ((2.1895215895924 48.75415928309, 2.192317263511 48.763285114137, 2.1906630467798 48.77503226756, 2.1974751412363 48.775399320528, 2.2099186754479 48.769192527247, 2.220072599507 48.771064419968, 2.2265538842831 48.776101996393, 2.2288438793787 48.774465449016, 2.2328536167843 48.765986233987, 2.225670174886 48.760545048783, 2.2264095985787 48.750031734761, 2.204033360406 48.736919903525, 2.1902338205345 48.739285322608, 2.1826038350561 48.7414325064, 2.1895215895924 48.75415928309))"
43,534.0,95424,Montigny-lès-Cormeilles,95,95370,"POLYGON ((2.1936175278657 49.005746350851, 2.1970956940697 49.00754837119, 2.2132424118472 49.001724794035, 2.2042438424996 48.990023760747, 2.2012389887151 48.990469608781, 2.1834379853382 48.979341007302, 2.1739266358183 48.986562633472, 2.1926024579228 49.002195600234, 2.1936175278657 49.005746350851))"
44,18.0,75119,Paris,75,75019,"POLYGON ((2.3770153520998 48.87192112928, 2.3646776664012 48.884291351874, 2.3698082422377 48.893376450644, 2.3702905140491 48.901653595285, 2.3894416378177 48.901152013806, 2.394906293421 48.898444039523, 2.3986443942733 48.889410347347, 2.4106903466383 48.878475106516, 2.3770153520998 48.87192112928))"
45,464.0,94042,Joinville-le-Pont,94,94340,"POLYGON ((2.4606281523871 48.809364181331, 2.4546492787037 48.813504777522, 2.4612052142523 48.818355149154, 2.465730572119 48.826226047985, 2.4758029547537 48.830611849549, 2.4823047478996 48.818830596022, 2.4801799535129 48.813521373195, 2.4727653665566 48.814563659457, 2.4606281523871 48.809364181331))"
46,363.0,91570,Saint-Michel-sur-Orge,91,91240,"POLYGON ((2.2927129692086 48.626155079726, 2.2978523802457 48.644413537163, 2.3090429286916 48.645540388899, 2.3168062677647 48.639603336163, 2.3285233302608 48.634342964755, 2.330492582328 48.620230504445, 2.3289333664074 48.619511094709, 2.3039012680499 48.625619202011, 2.2927129692086 48.626155079726))"
48,13.0,75114,Paris,75,75014,"POLYGON ((2.314145699673 48.822290535442, 2.3013154184885 48.825125760842, 2.3246635446251 48.843518038723, 2.3365927071777 48.839690537143, 2.3420384635948 48.838296917933, 2.3414937722336 48.828568124075, 2.3439025047441 48.815767001297, 2.3318980606376 48.817010929642, 2.314145699673 48.822290535442))"
49,294.0,91044,Ballainvilliers,91,91160,"POLYGON ((2.2861327636022 48.686179988938, 2.305157102512 48.678312954964, 2.3000729366579 48.669592254984, 2.2913295139412 48.657579839956, 2.2761172775259 48.660224737241, 2.2770116296161 48.670572711496, 2.2861327636022 48.686179988938))"
54,244.0,78361,Mantes-la-Jolie,78,78200,"POLYGON ((1.7083985213704 49.008291438361, 1.7206540516838 48.999856712691, 1.7272664932215 48.984858834982, 1.7160747004249 48.983064115313, 1.7025504858494 48.989238229926, 1.6906538052741 48.989489402372, 1.675788698218 48.994570272866, 1.6640449487572 48.994878065831, 1.6561196413399 48.996612515662, 1.6579749274276 49.006113123532, 1.6705839025966 49.008259847335, 1.7014617768456 49.01005478889, 1.7083985213704 49.008291438361))"
57,430.0,93048,Montreuil,93,93100,"POLYGON ((2.4516631892777 48.878487224695, 2.4647569847741 48.878069840969, 2.4815382130314 48.861405371284, 2.4626327306654 48.857185911471, 2.4471088963187 48.851151636291, 2.4189687408184 48.849332011252, 2.4163411302989 48.849233783552, 2.4153151254188 48.855173471685, 2.4228006135851 48.860662535343, 2.4353586024247 48.874583894915, 2.4464052481644 48.873001410403, 2.4516631892777 48.878487224695))"
59,472.0,94055,Ormesson-sur-Marne,94,94490,"POLYGON ((2.5178826447521 48.785506167916, 2.5222851537035 48.781992822527, 2.5316269187441 48.789711525218, 2.5513847369686 48.795819515027, 2.5554554933098 48.792096880109, 2.5619668533917 48.787805659511, 2.5457698610932 48.782464853922, 2.5355592892254 48.777022918488, 2.522586517279 48.777465554296, 2.5125072962739 48.781194237182, 2.5178826447521 48.785506167916))"
60,380.0,92002,Antony,92,92160,"POLYGON ((2.2902548977764 48.766600144572, 2.3054409625983 48.769014432104, 2.3124381271337 48.772163320624, 2.3199219497403 48.770716717176, 2.3158780366085 48.766766737767, 2.3102224901101 48.75695290327, 2.3207207141635 48.74875804931, 2.3162448752028 48.741982183131, 2.3132939902039 48.730280485815, 2.3038400608379 48.72948996497, 2.2983820323129 48.738637828397, 2.2802904545364 48.733011078618, 2.274512055777 48.74071589805, 2.2853936451259 48.747508493238, 2.2761433268947 48.756655860398, 2.2786189579814 48.760015845292, 2.2911566022188 48.762018402653, 2.2902548977764 48.766600144572))"
61,388.0,92023,Clamart,92,92140,"POLYGON ((2.2288438793787 48.774465449016, 2.2265538842831 48.776101996393, 2.2266318840334 48.781582704918, 2.2352046131447 48.786143087334, 2.2367830737694 48.796128595014, 2.2410673431056 48.801927382124, 2.2521179650907 48.809106809788, 2.2518651077193 48.816386741829, 2.2725609364554 48.814399077465, 2.2781833296731 48.814248778193, 2.279911190584 48.810917949841, 2.27468571206 48.803802699513, 2.2721929313396 48.794125236405, 2.2717219005527 48.790518428571, 2.250617048338 48.78458401047, 2.2374555044661 48.776297097556, 2.2288438793787 48.774465449016))"
62,439.0,93066,Saint-Denis,93,93200,"POLYGON ((2.365846786 48.901609465126, 2.3518739447639 48.901522076927, 2.3513975496145 48.907678886149, 2.3393877120402 48.91973139809, 2.3328418223185 48.922921815838, 2.3417073254845 48.933984494238, 2.3383653744183 48.942611820677, 2.3458014172584 48.946529427823, 2.3520242920415 48.950483167658, 2.3714795650111 48.947334069673, 2.3840281980819 48.943635737466, 2.3985093447763 48.948086938857, 2.3776067423496 48.931730244069, 2.374736219567 48.923679239377, 2.3670748512368 48.920876378532, 2.365846786 48.901609465126))"
63,214.0,78171,Condé-sur-Vesgre,78,78113,"POLYGON ((1.6957330522293 48.713115897311, 1.6942953737728 48.724029740848, 1.6582797429674 48.734379885461, 1.6386655034291 48.731841442831, 1.627040754917 48.72732294309, 1.6167282108315 48.730317235964, 1.6202508614576 48.736001826179, 1.6227076551309 48.740151045971, 1.6373496423946 48.743707671213, 1.6515495100313 48.743970554568, 1.6673898501665 48.741886981053, 1.6750930766154 48.743399390102, 1.6990865541449 48.737682250702, 1.7114697565565 48.736219888198, 1.7096621739067 48.712561203238, 1.6957330522293 48.713115897311))"
64,137.0,77379,Provins,77,77160,"POLYGON ((3.3205619974771 48.556324283772, 3.3178012074752 48.547752572388, 3.308491395899 48.544439697767, 3.2930344910287 48.540521592905, 3.2901388515076 48.548475458616, 3.2820635406517 48.551207063442, 3.2707938890652 48.551109116845, 3.2587666292991 48.561667894783, 3.2501313192987 48.561986815433, 3.2473839221784 48.569091801196, 3.273681551902 48.579968166715, 3.2941613492172 48.578149008977, 3.3048894736445 48.585285039037, 3.3110192843011 48.58415555066, 3.3108599103833 48.563237033735, 3.3205619974771 48.556324283772))"
65,490.0,95018,Argenteuil,95,95100,"POLYGON ((2.2922772578552 48.951389058719, 2.2909694895753 48.950965864655, 2.2687285425666 48.946575058002, 2.2475913259381 48.93673190225, 2.231140371461 48.927732507513, 2.2211846194098 48.934715158112, 2.2060953569669 48.940654951382, 2.205861118488 48.949738062716, 2.204055266752 48.957105634655, 2.2097843514844 48.963456477366, 2.2257328909673 48.971025374495, 2.2488913822928 48.964772539184, 2.2622228190132 48.96245963703, 2.2746219582146 48.964139579874, 2.2884581275524 48.95897612829, 2.2922772578552 48.951389058719))"
66,97.0,77243,Lagny-sur-Marne,77,77400,"POLYGON ((2.6739594692991 48.876520146987, 2.690587252217 48.880269436196, 2.7038423066584 48.880691460418, 2.7277357541227 48.883222171342, 2.7348863305317 48.882704031493, 2.7309719217432 48.880775282129, 2.729658111331 48.869096564375, 2.7275448935686 48.859756832132, 2.7094507506844 48.864757669598, 2.6964550213238 48.866604094885, 2.694188079146 48.874965561431, 2.6810667066635 48.869660433718, 2.6739594692991 48.876520146987))"
69,246.0,78372,Marly-le-Roi,78,78160,"POLYGON ((2.1010891695253 48.885535261386, 2.1094042196014 48.872834587295, 2.1051488346335 48.864594310837, 2.1075103999295 48.854298800239, 2.094912451773 48.854094445112, 2.0927033305499 48.846180210222, 2.0842268250961 48.850162871716, 2.0837303272859 48.854295341982, 2.0708584678953 48.854626886194, 2.0777738008821 48.867649423948, 2.0773682436174 48.873613624229, 2.0842238192189 48.878715307459, 2.0974299751697 48.88130413411, 2.1010891695253 48.885535261386))"
71,4.0,75105,Paris,75,75005,"POLYGON ((2.3445592260856 48.85398930556, 2.3643180356191 48.846167191329, 2.365950820881 48.844908659278, 2.3613870338288 48.839822776185, 2.3517180689518 48.836813651152, 2.3420384635948 48.838296917933, 2.3365927071777 48.839690537143, 2.3445592260856 48.85398930556))"
72,379.0,91691,Yerres,91,91330,"POLYGON ((2.4845525554027 48.729072399771, 2.5035392718422 48.735213292289, 2.5100603137322 48.734664596594, 2.5157481028347 48.728940405475, 2.5190795979889 48.712638843537, 2.5031872264899 48.709753943121, 2.4892677007848 48.701389567446, 2.4899548332766 48.694334408291, 2.4822872987328 48.689856194743, 2.4746164794627 48.69610904228, 2.4761492045734 48.711286096219, 2.4654716757058 48.711973594294, 2.4723625340011 48.717761663865, 2.4753778858699 48.72760051392, 2.4845525554027 48.729072399771))"
73,418.0,93008,Bobigny,93,93000,"POLYGON ((2.4100624941394 48.916689200496, 2.4134884566834 48.919257322391, 2.4369469730695 48.913047816467, 2.4537099258517 48.911620905964, 2.4752144326654 48.916405958245, 2.4698668983149 48.904765296111, 2.4412792237498 48.898278157245, 2.4277281319084 48.895887652694, 2.4240178425063 48.895179192736, 2.4140867289901 48.90841830284, 2.4100624941394 48.916689200496))"
74,301.0,91097,Boussy-Saint-Antoine,91,91800,"POLYGON ((2.5431073302003 48.686765874152, 2.5376735144797 48.685831970303, 2.5293504318707 48.678115206605, 2.5212857768004 48.681453438309, 2.5313278363738 48.695415309782, 2.5310726121952 48.699783892783, 2.5443069213921 48.698449115832, 2.5490013276388 48.689022588285, 2.5431073302003 48.686765874152))"
76,121.0,77326,Nandy,77,77176,"POLYGON ((2.5217689565415 48.573224776701, 2.5182811370135 48.58325330677, 2.5333428613649 48.589171157103, 2.5414489820844 48.59688742971, 2.5562709480815 48.592492689408, 2.5757010476053 48.589039140524, 2.5736396833278 48.57958386364, 2.5638047002811 48.573973708331, 2.5603588135487 48.566226650568, 2.556163246957 48.571595816729, 2.5478955662123 48.568514294406, 2.5426940239362 48.572335519696, 2.531591384175 48.57365785437, 2.5217689565415 48.573224776701))"
77,92.0,77232,Isles-lès-Villenoy,77,77450,"POLYGON ((2.8065689890664 48.9147615693, 2.8055019807574 48.91732727188, 2.8096727486304 48.918568672253, 2.8297516499136 48.933550082786, 2.8512124768577 48.924327926714, 2.8469919998165 48.907477410229, 2.8397799908729 48.900183779051, 2.8239193781641 48.903718188123, 2.8065689890664 48.9147615693))"
78,339.0,91345,Longjumeau,91,91160,"POLYGON ((2.3264106694076 48.68650514336, 2.3149289217746 48.680157693803, 2.305157102512 48.678312954964, 2.2861327636022 48.686179988938, 2.2848974530581 48.699123398004, 2.2922444953367 48.699035892593, 2.2938011369687 48.705113001358, 2.3036463346245 48.704959497893, 2.3016822322042 48.698478071076, 2.3055485391254 48.692919355189, 2.3161461345442 48.691986659645, 2.3281756647382 48.68753871545, 2.3264106694076 48.68650514336))"
